Title,Address,Halal,Muslim Owned,Food Court,Mixed Food Court,Type of Food,Rating,Latitude,Longitude
Green Chilli Chicken Rice @ Chomp Chomp Food Centre,"20 Kensington Park Rd, Singapore 557269 #01-13",No,Yes,No,Yes,"Indonesian, Asian",5.0/5.0 (1 reviews),1.364232525,103.866527
Hot Pan Sizzler @ Vistapoint (Kopitiam),"548 Woodlands Drive 44, Singapore 730548 #01-21",No,Yes,No,Yes,"BBQ, Hotpan Dishes",5.0/5.0 (2 reviews),1.430999316,103.7941016
Hot Pan Sizzler @ Northpoint City (Cantine),"930 Yishun Ave 2, Singapore 769098 #02-101/102/103",No,Yes,No,Yes,"BBQ, Hotpan Dishes",5.0/5.0 (1 reviews),1.429244143,103.8361072
Meat House Grill @ Clementi Avenue 6 (Kopitiam),"209b Clementi Ave 6, Singapore 122209 #01-10",No,Yes,No,Yes,"Western, Italian, Fusion",4.4/5.0 (5 reviews),1.323071833,103.7638587
Meat House Grill @ Woodlands Street 13 (Food Paradise),"182 Woodlands Street 13, Singapore 730182 #01-06",No,Yes,No,Yes,"Western, Italian, Fusion",3.5/5.0 (2 reviews),1.435158951,103.7760233
Al Izhan Indian Muslim @ Clementi Avenue 6 (Kopitiam),"209b Clementi Ave 6, Singapore 122209",No,Yes,No,Yes,Indian,0/5.0 (0 reviews),1.323071833,103.7638587
Yu Ni Xiang Yu @ Changi Airport Terminal 3 (Kopitiam),"65 Airport Boulevard, Singapore 819663â£ #B2-03",Yes,No,No,Yes,"Seafood, Chinese, Chongqing Grilled Fish",0/5.0 (0 reviews),1.356406287,103.9862118
Ayam Bakar @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114",No,Yes,No,Yes,"BBQ, Indonesian",4.8/5.0 (19 reviews),1.266568132,103.819248
Ding's Hainanese Chicken Rice @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-33",Yes,No,No,Yes,Asian,4.3/5.0 (23 reviews),1.266568132,103.819248
Al-Hussain Restaurant @ Tampines Street 81,"822 Tampines Street 81, Singapore 520822",No,Yes,Yes,No,"Indian, Thai",3.8/5.0 (854 reviews),1.348342344,103.9343798
Mohamad Arafat Muslim Food @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-48",No,Yes,No,Yes,Indian,4.5/5.0 (2 reviews),1.266568132,103.819248
Nasi Lemak Hijau @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-38",Yes,No,No,Yes,Malay,1.0/5.0 (1 reviews),1.266568132,103.819248
Fiie's Cafe @ Holland Drive,43 Holland Drive,No,Yes,Yes,No,"Malay, Nasi Ayam Goreng",0/5.0 (0 reviews),1.307434111,103.7928976
Al Hayat Indian Muslim Food,"107 Tampines St. 11, Singapore 521107 #01-361",No,Yes,No,Yes,"Indian, Opens 24 Hours",0/5.0 (0 reviews),1.3483643,103.9481588
Asia Ghani Jamu Selera Chicken Rice @ Jurong West Street 91,"1 Jurong West Street 91, Singapore 640964",No,Yes,No,Yes,Malay,3.1/5.0 (16 reviews),1.342989405,103.6918642
Asia Ghani Jamu Selera Chicken Rice @ Canberra Street,"105 Canberra St, Singapore 752106",No,Yes,No,Yes,Malay,4.5/5.0 (4 reviews),1.448855647,103.8324092
Asia Ghani Jamu Selera Chicken Rice @ 888 Plaza,"888 Woodlands Drive 50, Singapore 730888",No,Yes,No,Yes,Malay,3.9/5.0 (23 reviews),1.437123015,103.7953144
Soldier Chicken @ Jurong Gateway Road,"130 Jurong Gateway Road, Singapore 600130",Yes,No,No,Yes,"Western, Chicken",0/5.0 (0 reviews),1.334724905,103.7393213
Soldier Chicken @ Ang Mo Kio Avenue 3,"122 Ang Mo Kio Avenue 3, Singapore 560122",Yes,No,No,Yes,"Western, Chicken",4.4/5.0 (13 reviews),1.370188607,103.8434132
$5 Western @ Upper Boon Keng Road,"5 Upper Boon Keng Rd, Singapore 380005 #01-01",Yes,No,No,Yes,"American, Western",3.7/5.0 (120 reviews),1.312640145,103.8724919
$5 Western @ Wave 9,"71 Woodlands Industrial Park E9, Singapore 757048 #01-04",Yes,No,No,Yes,"American, Western",4.4/5.0 (8 reviews),1.448535946,103.7974488
Turkish Kebab by Daddy Kebab @ Pasir Ris Central Hawker Centre,"110 Pasir Ris Central, Singapore 519641 #01-22",No,Yes,No,Yes,"Mediterranean, Turkish",4.9/5.0 (71 reviews),1.373472521,103.9515713
Project Penyek @ Senja Hawker Centre,"2 Senja Cl, Singapore #02-17",No,Yes,No,Yes,Malay,3.6/5.0 (19 reviews),1.3871941,103.761084
Aroma Nasi Lemak @ Eunos Crescent Food Centre,"4a Eunos Cres, Singapore 402004 #01-08",No,Yes,No,Yes,Malay,4.0/5.0 (13 reviews),1.32033126,103.9042565
Just Lazzat @ Bedok North Street 1 (My Kampung),"11 Bedok North Street 1, Singapore 469662 #01-29",Yes,No,No,Yes,"Fusion, Malay, Beef, Lamb, BBQ, Asian, Chicken, Indonesian, Opens 24 Hours",3.7/5.0 (27 reviews),1.326623886,103.9318062
Hajmeer Kwaja Muslim Food @ Maxwell Food Centre,"1 Kadayanallur St, Singapore 069184",No,Yes,No,Yes,"Indian, Mediterranean, Asian",4.0/5.0 (55 reviews),1.2803315,103.8447473
Ayesha's Kitchen @ Cecil Street,"141 Cecil St, #01-02, Singapore 069541 #01-02",No,Yes,Yes,No,"Indian, Asian, BBQ, Mediterranean, Singaporean",4.0/5.0 (19 reviews),1.2792562,103.8484118
Kak Ngah Kitchen @ Market Street Hawker Centre,"88 Market St, Singapore",No,Yes,No,Yes,Malay,2.0/5.0 (2 reviews),1.2839001,103.850006
Warung Istimewa @ Market Street Hawker Centre,"50 Market St, Singapore 048940 #03-16",No,Yes,No,Yes,Western,4.9/5.0 (9 reviews),1.284967,103.850253
Selera Bonda @ Market Street Hawker Centre,"88 Market St, Singapore #02-11",No,Yes,No,Yes,Malay,5.0/5.0 (2 reviews),1.2839001,103.850006
Kejora Nasi Padang @ Market Street Hawker Centre,"88 Market St, Singapore 048948",No,No,No,Yes,"Malay, Indonesian",4.2/5.0 (10 reviews),1.283900065,103.850006
