Title,Address,Halal,Muslim Owned,Food Court,Mixed Food Court,Type of Food,Latitude,Longitude,Ratings,Review
Green Chilli Chicken Rice @ Chomp Chomp Food Centre,"20 Kensington Park Rd, Singapore 557269 #01-13",No,Yes,No,Yes,"Indonesian, Asian",1.364232525,103.866527,5.0,1.0
Hot Pan Sizzler @ Vistapoint (Kopitiam),"548 Woodlands Drive 44, Singapore 730548 #01-21",No,Yes,No,Yes,"BBQ, Hotpan Dishes",1.430999316,103.7941016,5.0,2.0
Hot Pan Sizzler @ Northpoint City (Cantine),"930 Yishun Ave 2, Singapore 769098 #02-101/102/103",No,Yes,No,Yes,"BBQ, Hotpan Dishes",1.429244143,103.8361072,5.0,1.0
Meat House Grill @ Clementi Avenue 6 (Kopitiam),"209b Clementi Ave 6, Singapore 122209 #01-10",No,Yes,No,Yes,"Western, Italian, Fusion",1.323071833,103.7638587,4.4,5.0
Meat House Grill @ Woodlands Street 13 (Food Paradise),"182 Woodlands Street 13, Singapore 730182 #01-06",No,Yes,No,Yes,"Western, Italian, Fusion",1.435158951,103.7760233,3.5,2.0
Al Izhan Indian Muslim @ Clementi Avenue 6 (Kopitiam),"209b Clementi Ave 6, Singapore 122209",No,Yes,No,Yes,Indian,1.323071833,103.7638587,No Rating,No Reviews
Yu Ni Xiang Yu @ Changi Airport Terminal 3 (Kopitiam),"65 Airport Boulevard, Singapore 819663⁣ #B2-03",Yes,No,No,Yes,"Seafood, Chinese, Chongqing Grilled Fish",1.356406287,103.9862118,No Rating,No Reviews
Ayam Bakar @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114",No,Yes,No,Yes,"BBQ, Indonesian",1.266568132,103.819248,4.8,19.0
Ding's Hainanese Chicken Rice @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-33",Yes,No,No,Yes,Asian,1.266568132,103.819248,4.3,23.0
Al-Hussain Restaurant @ Tampines Street 81,"822 Tampines Street 81, Singapore 520822",No,Yes,Yes,No,"Indian, Thai",1.348342344,103.9343798,3.8,854.0
Mohamad Arafat Muslim Food @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-48",No,Yes,No,Yes,Indian,1.266568132,103.819248,4.5,2.0
Nasi Lemak Hijau @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-38",Yes,No,No,Yes,Malay,1.266568132,103.819248,1.0,1.0
Fiie's Cafe @ Holland Drive,43 Holland Drive,No,Yes,Yes,No,"Malay, Nasi Ayam Goreng",1.307434111,103.7928976,No Rating,No Reviews
Al Hayat Indian Muslim Food,"107 Tampines St. 11, Singapore 521107 #01-361",No,Yes,No,Yes,"Indian, Opens 24 Hours",1.3483643,103.9481588,No Rating,No Reviews
Asia Ghani Jamu Selera Chicken Rice @ Jurong West Street 91,"1 Jurong West Street 91, Singapore 640964",No,Yes,No,Yes,Malay,1.342989405,103.6918642,3.1,16.0
Asia Ghani Jamu Selera Chicken Rice @ Canberra Street,"105 Canberra St, Singapore 752106",No,Yes,No,Yes,Malay,1.448855647,103.8324092,4.5,4.0
Asia Ghani Jamu Selera Chicken Rice @ 888 Plaza,"888 Woodlands Drive 50, Singapore 730888",No,Yes,No,Yes,Malay,1.437123015,103.7953144,3.9,23.0
Soldier Chicken @ Jurong Gateway Road,"130 Jurong Gateway Road, Singapore 600130",Yes,No,No,Yes,"Western, Chicken",1.334724905,103.7393213,No Rating,No Reviews
Soldier Chicken @ Ang Mo Kio Avenue 3,"122 Ang Mo Kio Avenue 3, Singapore 560122",Yes,No,No,Yes,"Western, Chicken",1.370188607,103.8434132,4.4,13.0
$5 Western @ Upper Boon Keng Road,"5 Upper Boon Keng Rd, Singapore 380005 #01-01",Yes,No,No,Yes,"American, Western",1.312640145,103.8724919,3.7,120.0
$5 Western @ Wave 9,"71 Woodlands Industrial Park E9, Singapore 757048 #01-04",Yes,No,No,Yes,"American, Western",1.448535946,103.7974488,4.4,8.0
Turkish Kebab by Daddy Kebab @ Pasir Ris Central Hawker Centre,"110 Pasir Ris Central, Singapore 519641 #01-22",No,Yes,No,Yes,"Mediterranean, Turkish",1.373472521,103.9515713,4.9,71.0
Project Penyek @ Senja Hawker Centre,"2 Senja Cl, Singapore #02-17",No,Yes,No,Yes,,1.3871941,103.761084,3.6,19.0
Aroma Nasi Lemak @ Eunos Crescent Food Centre,"4a Eunos Cres, Singapore 402004 #01-08",No,Yes,No,Yes,Malay,1.32033126,103.9042565,4.0,13.0
Just Lazzat @ Bedok North Street 1 (My Kampung),"11 Bedok North Street 1, Singapore 469662 #01-29",Yes,No,No,Yes,"Fusion, Malay, Beef, Lamb, BBQ, Asian, Chicken, Indonesian, Opens 24 Hours",1.326623886,103.9318062,3.7,27.0
Hajmeer Kwaja Muslim Food @ Maxwell Food Centre,"1 Kadayanallur St, Singapore 069184",No,Yes,No,Yes,"Indian, Mediterranean, Asian",1.2803315,103.8447473,4.0,55.0
Ayesha's Kitchen @ Cecil Street,"141 Cecil St, #01-02, Singapore 069541 #01-02",No,Yes,Yes,No,"Indian, Asian, BBQ, Mediterranean, Singaporean",1.2792562,103.8484118,4.0,19.0
Kak Ngah Kitchen @ Market Street Hawker Centre,"88 Market St, Singapore",No,Yes,No,Yes,Malay,1.2839001,103.850006,2.0,2.0
Warung Istimewa @ Market Street Hawker Centre,"50 Market St, Singapore 048940 #03-16",No,Yes,No,Yes,Western,1.284967,103.850253,4.9,9.0
Selera Bonda @ Market Street Hawker Centre,"88 Market St, Singapore #02-11",No,Yes,No,Yes,Malay,1.2839001,103.850006,5.0,2.0
Kejora Nasi Padang @ Market Street Hawker Centre,"88 Market St, Singapore 048948",No,No,No,Yes,"Malay, Indonesian",1.283900065,103.850006,4.2,10.0
Mom's Kitchen @ Market Street Hawker Centre,"88 Market St, CapitaSpring, Singapore 048948",No,Yes,No,Yes,"Malay, Thai",1.2839001,103.850006,3.8,4.0
786 炒粿条 Char Kway Teow @ Bukit Merah Hawker Centre,"115 Bukit Merah View, #01-28, Singapore 151115 #01-28",No,Yes,No,Yes,Chinese,1.2855045,103.8218233,4.4,516.0
Firdaus Prata & Briyani House @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-50",No,Yes,No,Yes,Indian,1.311584337,103.759907,2.9,11.0
M. Mohamed Ismail @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503",No,Yes,No,Yes,"Indian, Mutton Chop",1.311584337,103.759907,3.7,10.0
A. Rashid Khan @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503",No,Yes,No,Yes,"Indian, Mutton Soup",1.311584337,103.759907,4.5,14.0
N.M. Abdul Rahim @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-60",No,Yes,No,Yes,Indian,1.311584337,103.759907,3.6,14.0
Taman Selera West Coast @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-65",No,Yes,No,Yes,"Malay, Mee Rebus",1.311584337,103.759907,4.1,14.0
Liza Nasi Padang @ Kim Keat Food Centre,"22 Lor 7 Toa Payoh, Singapore 310022 #01-44",No,Yes,No,Yes,Malay,1.335382613,103.8570037,4.8,17.0
Habib's Rojak @ Kim Keat Food Centre,"22 Lor 7 Toa Payoh, Singapore 310022 #01-56",No,Yes,No,Yes,Indian,1.335382613,103.8570037,4.7,3.0
Habib's Rojak @ Ayer Rajah Food Centre,"503A W Coast Dr, Singapore 121503 #01-03",No,Yes,No,Yes,Indian,1.311584337,103.759907,3.9,76.0
Ibrahim Stall Shenton Way Power @ Ayer Rajah Food Centre,"503a W Coast Dr, Singapore 121503 #01-74",No,Yes,No,Yes,Indian,1.311584337,103.759907,4.9,11.0
Noor Ali Nasi Padang @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #75",No,Yes,No,Yes,Malay,1.311584337,103.759907,5.0,1.0
Adam A Rojak @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-79",Yes,No,No,Yes,Indian,1.311584337,103.759907,4.9,187.0
Mbakyu Nasi Padang Warong Pojok @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-80",No,Yes,No,Yes,"Malay, Indonesian",1.311584337,103.759907,5.0,8.0
Mohamed Raihan @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-70",No,Yes,No,Yes,Indian,1.311584337,103.759907,3.9,7.0
Five Star Fast Food @ Golden Mile Food Centre,"505 Beach Rd, Singapore 199583 #B1-18",No,Yes,No,Yes,"Indian, Western",1.303141753,103.8638776,4.8,10.0
Five Star Fast Food @ Taman Jurong Food Centre,"3 Yung Sheng Rd, Singapore 618499 #02-99",No,Yes,No,Yes,"Indian, Western",1.334682665,103.7216193,3.0,12.0
Aysha Food Corner @ Marsiling Mall Hawker Centre,"Woodlands Street 12, Singapore #01-41",No,Yes,No,Yes,"Indian, Thai, Western",1.434551711,103.7797156,3.3,6.0
Five Star Fast Food @ Marsiling Mall Hawker Centre,"Woodlands Street 12, Singapore 738620 #01-40",No,Yes,No,Yes,"Indian, Western",1.434551711,103.7797156,3.3,42.0
Arabica Kebab @ Marsiling Mall Hawker Centre,"Woodlands Street 12, Singapore 738623 #01-38",No,Yes,No,Yes,Middle Eastern,1.434551711,103.7797156,4.6,41.0
Mel's Western @ Marsiling Mall Hawker Centre,"4 Woodlands Street 12, Singapore 738623 #01-37",No,Yes,No,Yes,Western,1.433543181,103.7798819,2.0,8.0
Bhai's Chapati & Biryani @ Marsiling Mall Hawker Centre,"4 Woodlands Street 12, Singapore 738620 #01-43",No,Yes,No,Yes,Indian,1.433543181,103.7798819,4.3,12.0
Nurul Nasi Briyani Power @ Changi Village Hawker Centre,"3 Changi Village Rd, Singapore 500003 #01-48",No,Yes,No,Yes,Malay,1.389658343,103.9880918,2.8,4.0
Sinar Murni @ Changi Village Hawker Centre,"Blk 3 Changi Village Rd, Singapore 500003 #01-75",No,Yes,No,Yes,"Malay, Snacks, Popiah",1.389658343,103.9880918,5.0,2.0
Al-Baik Halal Western @ Changi Village Hawker Centre,"3 Changi Village Rd, Singapore 500003 #01-77",No,Yes,No,Yes,Western,1.389658343,103.9880918,4.5,2.0
Zayyan Ash Shakur Muslim Foods @ Changi Village Hawker Centre,"2 Changi Village Rd, Singapore 500002 #01-78",No,Yes,No,Yes,Indian,1.389151649,103.9882452,5.0,2.0
Warung Nenek @ Changi Village Hawker Centre,"3 Changi Village Rd, Singapore 500003 #01-73",No,Yes,No,Yes,"Malay, Snacks",1.389658343,103.9880918,4.9,10.0
