OBJECTID,STN_NAME,STN_NO,Latitude,Longitude
1,EUNOS MRT STATION,EW7,1.3197789515536371,103.90325246673828
2,CHINESE GARDEN MRT STATION,EW25,1.3423528208747444,103.73259673807337
3,KHATIB MRT STATION,NS14,1.4173833701535468,103.83297990773832
4,KRANJI MRT STATION,NS7,1.4251776987704483,103.76216541090021
5,REDHILL MRT STATION,EW18,1.2895627264024532,103.81681667014902
6,YEW TEE MRT STATION,NS5,1.3975350177934123,103.74740511413793
7,PIONEER MRT STATION,EW28,1.3375868822047494,103.69732151293607
8,COMMONWEALTH MRT STATION,EW20,1.3024387353271702,103.79830451562897
9,PAYA LEBAR MRT STATION,EW8/CC9,1.318112082295278,103.8930603552516
10,SIMEI MRT STATION,EW3,1.343202894930727,103.95337169417571
11,TAMPINES MRT STATION,EW2/DT32,1.3533013563424345,103.94514868864901
12,ADMIRALTY MRT STATION,NS10,1.4405850010854107,103.80098800081232
13,YISHUN MRT STATION,NS13,1.4294430808108005,103.8350050461946
14,PASIR RIS MRT STATION,EW1,1.3729837735794899,103.94926811824541
15,CLEMENTI MRT STATION,EW23,1.3149544924235945,103.76529887432638
16,ALJUNIED MRT STATION,EW9,1.316432611657838,103.88290604466043
17,ANG MO KIO MRT STATION,NS16,1.3693473037885635,103.84993299388984
18,EXPO MRT STATION,CG1/DT35,1.3345497778378117,103.96154821070795
19,CHOA CHU KANG MRT STATION,NS4,1.3853616928288095,103.74434094618154
20,JURONG EAST MRT STATION,EW24/NS1,1.3331526198940653,103.7422865440047
21,QUEENSTOWN MRT STATION,EW19,1.2948609327949876,103.8058843
22,TUAS LINK MRT STATION,EW33,1.340463765648207,103.63687867834884
23,GUL CIRCLE MRT STATION,EW30,1.3195052149382063,103.66055295590799
24,WOODLANDS MRT STATION,NS9/TE2,1.4368751282107552,103.78648513490744
25,TUAS CRESCENT MRT STATION,EW31,1.3210265532422654,103.64907547830892
26,KALLANG MRT STATION,EW10,1.3114889096421625,103.87138654135926
27,TUAS WEST ROAD MRT STATION,EW32,1.3299890890491355,103.63961405603037
28,BUONA VISTA MRT STATION,EW21/CC22,1.307183466547333,103.79019153517372
29,DOVER MRT STATION,EW22,1.3114052929253077,103.77863784163793
30,SEMBAWANG MRT STATION,NS11,1.4490508212272943,103.82004614054829
31,KEMBANGAN MRT STATION,EW6,1.3210382488510848,103.9129493883634
32,BUKIT BATOK MRT STATION,NS2,1.3490341085766733,103.74956676385231
34,BOON LAY MRT STATION,EW27,1.3386040545032738,103.70606462259597
35,BUKIT GOMBAK MRT STATION,NS3,1.3587618572614455,103.75189350208203
36,MARSILING MRT STATION,NS8,1.4325144206356422,103.77407146126207
37,BEDOK MRT STATION,EW5,1.3239799688877467,103.92998449462056
38,JOO KOON MRT STATION,EW29,1.327717173,103.67837514285053
39,LAKESIDE MRT STATION,EW26,1.3442592493946972,103.72094926847875
40,TANAH MERAH MRT STATION,EW4,1.3271871345383557,103.94634646062272
41,YIO CHU KANG MRT STATION,NS15,1.3817560461130038,103.84494728975423
42,OASIS LRT STATION,PE6,1.402286677493708,103.91272735563076
43,SAM KEE LRT STATION,PW1,1.409612685086607,103.90483155051864
44,FARMWAY LRT STATION,SW2,1.3971701964580427,103.88930481043573
45,KUPANG LRT STATION,SW3,1.3982128283971755,103.88125622197416
46,RENJONG LRT STATION,SW8,1.3867239215280003,103.8905394271551
47,BUKIT PANJANG LRT STATION,BP6,1.3779098979822033,103.76301363378538
48,FAJAR LRT STATION,BP10,1.3845207961752235,103.77080858250861
50,PUNGGOL LRT STATION,PTC,1.4051947013024328,103.90241191198473
51,SAMUDERA LRT STATION,PW4,1.4159017194387677,103.90215631639083
52,NIBONG LRT STATION,PW5,1.4118704584532271,103.90031381767317
53,SOO TECK LRT STATION,PW7,1.4050885848539643,103.89720965031741
54,KADALOOR LRT STATION,PE5,1.3995848527611094,103.91648666197331
55,CORAL EDGE LRT STATION,PE3,1.3939092261174861,103.9125808548093
56,THANGGAM LRT STATION,SW4,1.3973181549952225,103.87563515645569
57,KEAT HONG LRT STATION,BP3,1.378602765983026,103.74905551939932
58,DAMAI LRT STATION,PE7,1.4052348361719906,103.90860354364429
59,COVE LRT STATION,PE1,1.3992819850199325,103.90596194407641
60,RIVIERA LRT STATION,PE4,1.3945244957690124,103.91616605898767
61,SENJA LRT STATION,BP13,1.3826922958241612,103.76236722595047
62,JELAPANG LRT STATION,BP12,1.386703025013921,103.76450333815882
63,PETIR LRT STATION,BP7,1.3777503338172215,103.766669
64,TECK WHYE LRT STATION,BP4,1.3766846794439074,103.75371223219945
65,CHOA CHU KANG LRT STATION,BP1,1.3848363599658255,103.7445537312411
66,SOUTH VIEW LRT STATION,BP2,1.380298287217282,103.74529180004231
67,LAYAR LRT STATION,SW6,1.392079838772599,103.88002960034964
68,KANGKAR LRT STATION,SE4,1.3839789018335389,103.90217398876578
69,MERIDIAN LRT STATION,PE2,1.3969120530632737,103.90895021696619
70,CHENG LIM LRT STATION,SW1,1.3962776313358085,103.89379718083607
71,PUNGGOL POINT LRT STATION,PW3,1.4168485204957675,103.90665079046617
72,SUMANG LRT STATION,PW6,1.4084524256476956,103.89855845404989
73,FERNVALE LRT STATION,SW5,1.391885887744102,103.87630861136844
74,TONGKANG LRT STATION,SW7,1.3893479529596946,103.88584414990768
76,PENDING LRT STATION,BP8,1.3761428827850481,103.77127017861224
77,TECK LEE LRT STATION,PW2,1.4127708938635475,103.90657762270189
80,BANGKIT LRT STATION,BP9,1.3800178972420925,103.77264907257116
81,BAKAU LRT STATION,SE3,1.3880927037751092,103.90543910424007
82,RUMBIA LRT STATION,SE2,1.391468496838555,103.90597359531087
83,COMPASSVALE LRT STATION,SE1,1.3944930461980638,103.90049245062764
89,RANGGUNG LRT STATION,SE5,1.3838854419159177,103.89753716196952
90,PHOENIX LRT STATION,BP5,1.3786188444529008,103.75803409838647
91,SEGAR LRT STATION,BP11,1.3877721308608741,103.76959839678025
92,SENGKANG LRT STATION,STC,1.3916093638162654,103.89544258366438
93,BRAS BASAH MRT STATION,CC2,1.2968616865276132,103.8506673717781
94,MACPHERSON MRT STATION,CC10/DT26,1.326345371661258,103.8902870313661
95,CITY HALL MRT STATION,EW13/NS25,1.2929362428460927,103.85258589234415
96,TAMPINES EAST MRT STATION,DT33,1.3561914830370019,103.95463446292943
97,TAMPINES WEST MRT STATION,DT31,1.345515305,103.93843697135333
98,GEYLANG BAHRU MRT STATION,DT24,1.3215058380176048,103.8719006257064
99,BENDEMEER MRT STATION,DT23,1.313672232544496,103.8629779874744
100,BENCOOLEN MRT STATION,DT21,1.2988642704173592,103.85038425491643
101,HARBOURFRONT MRT STATION,NE1/CC29,1.265472639862096,103.82144306908805
104,KENT RIDGE MRT STATION,CC24,1.2934960617448048,103.78442746062646
