Title,Address,Food Court,Type of Food,Rating,Latitude,Longitude
Tuo Yuan,"27 Jalan Berseh, Central Singapore, Singapore, 200027",No,Indonesian,5.0/5.0 (1 reviews),1.3066005,103.8577998
Vegetarian 85,"861 North Bridge Road (at North Bridge Road Market and Food Centre), Central Singapore, Singapore, 198783",Yes,Chinese,4.5/5.0 (2 reviews),1.3061409,103.8640993
Kunthaville,"18 Veerasamy Rd, Central Singapore, Singapore, 207326",No,Sri Lankan,4.0/5.0 (12 reviews),1.3074244,103.8534585
Clover Plant Based Kitchen & Bar,"18 Pahang St (at Kampong Glam), Central Singapore, Singapore, 198615",No,Mixed,4.5/5.0 (14 reviews),1.3022461,103.8611773
Moriya Izakaya,"18 Pahang St, Level 2, Central Singapore, Singapore, 198615",No,Japanese,5.0/5.0 (1 reviews),1.3022461,103.8611773
Chang Le Vegetarian Food,"Blk 17, Upper Boon Keng Rd 01-63, Central Singapore, Singapore, 380017",No,Chinese,4.5/5.0 (3 reviews),1.3150285,103.8716205
Pita Bakery,"29 Bali Lane, Central Singapore, Singapore, 189865",No,Mediterranean,4.5/5.0 (86 reviews),1.3012293,103.8584585
Pine Tree Cafe - Fortune Centre,"190 Middle Rd, #02-13/09, Fortune Centre, Central Singapore, Singapore, 188979",No,Chinese,4.5/5.0 (38 reviews),1.3004225,103.8522867
Living Wholesome - Fortune Centre,"190 Middle Rd, Unit 01-23 (at Fortune Centre), Central Singapore, Singapore, 188979",No,Chinese,5.0/5.0 (11 reviews),1.3004225,103.8522867
Analogue Initiative,"30 Victoria St, Unit 01-31 Chijmes, Central Singapore, Singapore, 187996",No,Mixed,4.5/5.0 (41 reviews),1.2947968,103.8525734
Kampung Senang EcoHarmony Café,"Block 106 Aljunied Crescent , 01-205, Central Singapore, Singapore, 380106",No,Chinese,4.5/5.0 (19 reviews),1.319055,103.882901
Xiang Ji Miao Chu,"Blk 17 Old Airport Road, Unit 01-05, Central Singapore, Singapore, 397972",No,Chinese,3.5/5.0 (2 reviews),1.307344,103.8840177
Yi Sheng,"Blk 17 Old Airport Rd, Unit 01-11, Central Singapore, Singapore, 397972",No,Chinese,4.0/5.0 (4 reviews),1.307344,103.8840177
The Kind Bowl - Somerset,"71 Killiney Rd, Central Singapore, Singapore, 239527",No,Mixed,4.5/5.0 (67 reviews),1.2987505,103.8394168
Jeun VirtueFarm,"Block 79A, Circuit Rd, Circuit Road Food Centre, Unit 01-84, Central Singapore, Singapore, 371079",Yes,Chinese,5.0/5.0 (26 reviews),1.3278342,103.8871027
Makan Vegan,"641 Geylang Road, #01-03 Lorong 33 Coffee Shop, Central Singapore, Singapore, 389571",Yes,Chinese,4.5/5.0 (55 reviews),1.314474,103.8879775
VEGANBURG,"11 Bidadari Park Dr, Unit #01-37 (at The Woodleigh Mal), Central Singapore, Singapore, 367803",No,Western,4.5/5.0 (11 reviews),1.3387307,103.8716701
nomVnom Bistro - Clarke Quay,"Central Clarke Quay, 6 Eu Tong Sen St, #03-105/106/107, Central Singapore, Singapore, 059817",No,Western,4.5/5.0 (271 reviews),1.2888386,103.8465581
Toa Payoh Lorong 8 - Vegetarian Stall,"#01-74 210 Lorong 8 Toa Payoh, Central Singapore, Singapore, 310210",Yes,Chinese,4.0/5.0 (5 reviews),1.3402521,103.8543339
VeganPho,"304 Orchard Rd, No01-67, Lucky Plaza, Level 1, Central Singapore, Singapore, 238863",No,Vietnamese,5.0/5.0 (20 reviews),1.3045061,103.8339624
Genesis,"2 Havelock Rd, Havelock II, B1-01, Central Singapore, Singapore, 059763",No,Mixed,4.5/5.0 (81 reviews),1.2871507,103.8451538
